"clean_street","max_house_number"
"Abbrecher",7
"Aberlestrasse",22
"Ackerstrasse",26
"Adalbertstrasse",94
"Adamstrasse",4
"Adelgundenstrasse",38
"Adlzreiterstrasse",15
"Aengerweg",6
"Aeuss. Isarst",10
"Aeussere Birkenau",42
"Aeussere Dachauer Strasse",16
"Aeussere Isarau",1
"Aeussere Isarstrasse",10
"Aeussere Karlstrasse",162
"Aeussere Landwehrstrasse",13
"Aeussere Pferdstrasse",4
"Aeussere Schleissheimer Strasse",34
"Aeussere Wiener Strasse",151
"Aiblingerstrasse",1
"Ainmillerstrasse",8
"Akademiestrasse",23
"Albertstrasse",16
"Albrechtstrasse",3
"Alexandrastrasse",16
"Alfonsstrasse",1
"Alois-Jegg-Strasse",13
"Alpenstrasse",39
"Alramstrasse",29
"Alte Pferdestrasse",4
"Alte Pferdstrasse",5
"Altenhofstrasse",4
"Althammerwerk",9
"Altheimer Eck",20
"Am Bach",4
"Am Bergsteig",2
"Am Durchlass",18
"Am Einlass",5
"Am Feuerbaechl",10
"Am Gasteig",2
"Am Glockenbach",50
"Am Graben",13
"Am Gries",21
"Am Hofgraben",4
"Am Kanal",6
"Am Kirchberg",8
"Am Kirchstein",4
"Am Kosttor",3
"Am Lilienberg",17
"Am Muehlbach",5
"Am Neudeck",8
"Am Nockherberg",9
"Am Oberwiesenfeld",36
"Am Platz",17
"Amalienburgstrasse",49
"Amalienstrasse",95
"An der Grube",41
"An der Hauptfeuerwache",15
"An der Kreppe",12
"An der Schwaige",13
"Anger",8
"Angergasse",5
"Angermayrstrasse",6
"Angerstrasse",24
"Angertorstrasse",4
"Angerweg",5
"Annastrasse",5
"Arbeiterhaeuser",36
"Arcisstrasse",66
"Arcostrasse",14
"Arndtstrasse",16
"Arnulfstrasse",46
"Artilleriestrasse",30
"Asamstrasse",6
"Auenstrasse",112
"Auer Lueften",11
"Auerfeldstrasse",7
"Auerkirchhofstrasse",8
"Auerlueft",6
"Auessere Isarau",1
"Auessere Isarstasse",5
"Auessere Isarstrasse",10
"Auessere Luitpoldstrasse",5
"Auf den Lueften",23
"Auf der Insel",5
"Augsburgerstrasse",6
"Augsburgg",2
"Augustenstrasse",119
"Augustinerstrasse",24
"Aventinstrasse",14
"Baaderplatz",2
"Baaderstrasse",80
"Bachstrasse",7
"Badstrasse",16
"Baeckergaessel",13
"Baeckerstrasse",13
"Bahnhofplatz",7
"Bahnhofstrasse",2
"Bahnwaerterhaeuschen",12
"Balanstrasse",120
"Baldeplatz",1
"Baldestrasse",19
"Bandstrasse",4
"Barbierstrasse",11
"Barer Strasse",90
"Barthstrasse",8
"Baumstrasse",19
"Bavariaring",44
"Bavariastrasse",18
"Bayerstrasse",189
"Bazar",4
"Beethovenstrasse",14
"Beichstrasse",9
"Belgradstrasse",92
"Bereiteranger",7
"Berg-am-Laim-Strasse",21
"Bergerstrasse",73
"Bergmannstrasse",36
"Bergstrasse",33
"Bettschaftswinkel",3
"Biederstein",9
"Biedersteiner Strasse",14
"Birkenau",14
"Birkenleiten",2
"Birkerstrasse",13
"Birketweg",1
"Bismarckstrasse",30
"Bluetenstrasse",25
"Blumenstrasse",61
"Blutenburgstrasse",186
"Bogenhausen",91
"Bogenhausener Strasse",11
"Bogenhauserst",11
"Bogenhauserstrasse",137
"Bogenstrasse",15
"Boosstrasse",19
