street,number
Filserbräugasse,1
Filserbräugasse,2
Filserbräugasse,3
Filserbräugasse,4
Filserbräugasse,5
Filserbräugasse,6
Filserbräugasse,7
Filserbräugasse,8
Filserbräugasse,9
Filserbräugasse,10
Albertgasse,1
Albertgasse,2
Albertgasse,3
Albertgasse,4
Albertgasse,5
Albertgasse,6
Albertgasse,7
Albertgasse,8
Albertgasse,9
Albertgasse,10
Fürstenfelder Straße,1
Fürstenfelder Straße,2
Fürstenfelder Straße,3
Fürstenfelder Straße,4
Fürstenfelder Straße,5
Fürstenfelder Straße,6
Fürstenfelder Straße,7
Fürstenfelder Straße,8
Fürstenfelder Straße,9
Fürstenfelder Straße,10
